"fecha","BONOS","IGBVL","TC","TIR","Premio_riesgo"
2006-01-03,8.2,4807.74,3.43058333333333,3.25,4807.658
2006-01-04,8.2,4889.63,3.4385,3.25,4889.548
2006-01-05,8.2,4911.53,3.43966666666667,3.25,4911.448
2006-01-06,8.2,4820.78,3.442,3.5,4820.698
2006-01-09,8.28,4781.77,3.4445,3.5,4781.6872
2006-01-10,8.28,4761.74,3.4445,3.5,4761.6572
2006-01-11,8.28,4651.8,3.4449,3.5,4651.7172
2006-01-12,8.28,4676.84,3.4458,3.5,4676.7572
2006-01-13,8.28,4653,3.4522,3.5,4652.9172
2006-01-16,8.28,4602.95,3.442,3.5,4602.8672
2006-01-17,8.28,4740.42,3.42441666666667,3.5,4740.3372
2006-01-18,8.2,4853.38,3.38333333333333,3.5,4853.298
2006-01-19,8.13666666666666,4904.42,3.35933333333333,3.5,4904.33863333333
2006-01-20,8.16,4998.83,3.35808333333333,3.5,4998.7484
2006-01-23,8.15,4951.74,3.35658333333333,3.5,4951.6585
2006-01-24,8.09333333333333,5009.36,3.33458333333333,3.5,5009.27906666667
2006-01-25,8.0589,5119.63,3.34533333333333,3.5,5119.549411
2006-01-26,7.87428571428571,5201,3.32033333333333,3.5,5200.92125714286
2006-01-27,7.92333333333333,5422.96,3.31775,3.5,5422.88076666667
2006-01-30,7.87,5459.96,3.30766666666667,3.5,5459.8813
2006-01-31,7.925,5680.42,3.31575,3.5,5680.34075
2006-02-01,7.88333333333333,5633.51,3.30825,3.5,5633.43116666667
2006-02-02,7.6975,5915.82,3.31275,3.5,5915.743025
2006-02-03,7.67,6130.44,3.29933333333333,3.75,6130.3633
2006-02-06,7.67,6314.38,3.29133333333333,3.75,6314.3033
2006-02-07,7.67,6483.58,3.28833333333333,3.75,6483.5033
2006-02-08,7.67,6289.8,3.28316666666667,3.75,6289.7233
2006-02-09,7.64166666666667,6114.81,3.28783333333333,3.75,6114.73358333333
2006-02-10,7.496,5889.66,3.29,3.75,5889.58504
2006-02-13,7.45,5837.01,3.28766666666667,3.75,5836.9355
2006-02-14,7.45,5976.93,3.29041666666667,3.75,5976.8555
2006-02-15,7.37,6043.49,3.29008333333333,3.75,6043.4163
2006-02-16,7.35,5899.68,3.28533333333333,3.75,5899.6065
2006-02-17,7.35,6002.7,3.28466666666667,3.75,6002.6265
2006-02-21,7.35,6062.6,3.282,3.75,6062.5265
2006-02-22,7.35,6076.3,3.28058333333333,3.75,6076.2265
2006-02-23,7.35,6075.93,3.282,3.75,6075.8565
2006-02-24,7.245,6064.58,3.28283333333333,3.75,6064.50755
2006-02-27,7.245,6094.41,3.28541666666667,3.75,6094.33755
2006-02-28,7.25,6105.53,3.29358333333333,3.75,6105.4575
2006-03-01,7.25,6080.68,3.30766666666667,3.75,6080.6075
2006-03-02,7.25,6173.28,3.34075,3.75,6173.2075
2006-03-03,7.25,6199.54,3.32758333333333,4,6199.4675
2006-03-06,7.55,6113.94,3.32975,4,6113.8645
2006-03-07,7.55,5966.82,3.33458333333333,4,5966.7445
2006-03-08,7.59,5833.82,3.34175,4,5833.7441
2006-03-09,7.55,5734.91,3.32916666666667,4,5734.8345
2006-03-10,7.55,5938.5,3.33191666666667,4,5938.4245
2006-03-14,7.55,5718.06,3.34025,4,5717.9845
2006-03-15,7.55,5734.13,3.33533333333333,4,5734.0545
2006-03-16,7.55,5761.73,3.32441666666667,4,5761.6545
2006-03-17,7.55,5967.41,3.33,4,5967.3345
2006-03-20,7.55,5966.83,3.35991666666667,4,5966.7545
2006-03-21,7.55,5723.26,3.34933333333333,4,5723.1845
2006-03-22,7.95,5812.19,3.34516666666667,4,5812.1105
2006-03-23,8.05,5868.97,3.36316666666667,4,5868.8895
2006-03-24,8.012,5810.15,3.37408333333333,4,5810.06988
2006-03-27,8.012,5817.96,3.35225,4,5817.87988
2006-03-28,8.012,5874.57,3.34583333333333,4,5874.48988
2006-03-29,7.982,5878.5,3.33408333333333,4,5878.42018
2006-03-30,7.997,5943.76,3.35741666666667,4,5943.68003
2006-03-31,7.997,5947.36,3.36033333333333,4,5947.28003
2006-04-03,7.997,5920.5,3.36475,4,5920.42003
2006-04-04,7.997,5933.53,3.3625,4,5933.45003
2006-04-05,8.062,5975.25,3.37333333333333,4,5975.16938
2006-04-06,8.072,6081.27,3.3705,4,6081.18928
2006-04-07,8.062,6067.81,3.36808333333333,4.25,6067.72938
2006-04-10,8.002,6192.89,3.31925,4.25,6192.80998
2006-04-11,8.002,6333.83,3.35175,4.25,6333.74998
2006-04-12,7.972,6218.35,3.32758333333333,4.25,6218.27028
2006-04-17,7.972,6470.08,3.31275,4.25,6470.00028
2006-04-18,7.962,6635.01,3.31,4.25,6634.93038
2006-04-19,7.952,6813.09,3.31291666666667,4.25,6813.01048
2006-04-20,7.912,6804.18,3.31816666666667,4.25,6804.10088
2006-04-21,7.912,6783.25,3.31358333333333,4.25,6783.17088
2006-04-24,7.937,6991.78,3.32091666666667,4.25,6991.70063
2006-04-25,7.937,7016.15,3.31791666666667,4.25,7016.07063
2006-04-26,7.937,7063.08,3.31808333333333,4.25,7063.00063
2006-04-27,7.937,7089.02,3.32325,4.25,7088.94063
2006-04-28,7.887,6963.92,3.311,4.25,6963.84113
2006-05-02,7.932,7142.92,3.3065,4.25,7142.84068
2006-05-03,7.932,7184.55,3.30416666666667,4.25,7184.47068
2006-05-04,7.802,7006.15,3.29641666666667,4.25,7006.07198
2006-05-05,7.802,7053.87,3.29175,4.5,7053.79198
2006-05-08,7.737,7121.28,3.28866666666667,4.5,7121.20263
2006-05-09,7.712,7284.64,3.27758333333333,4.5,7284.56288
2006-05-10,7.662,7477.62,3.28308333333333,4.5,7477.54338
2006-05-11,7.687,7612.8,3.28058333333333,4.5,7612.72313
2006-05-12,7.687,7763.85,3.27966666666667,4.5,7763.77313
2006-05-15,7.687,7689.84,3.27683333333333,4.5,7689.76313
2006-05-16,7.612,7581.13,3.2725,4.5,7581.05388
2006-05-17,7.612,7523.43,3.26108333333333,4.5,7523.35388
2006-05-18,7.612,7335.43,3.261,4.5,7335.35388
2006-05-19,7.587,7204.06,3.25916666666667,4.5,7203.98413
2006-05-22,7.587,7142.34,3.26783333333333,4.5,7142.26413
2006-05-23,7.587,7175.1,3.26208333333333,4.5,7175.02413
2006-05-24,7.637,7441.47,3.26925,4.5,7441.39363
2006-05-25,7.637,7333.28,3.265,4.5,7333.20363
2006-05-26,7.612,7423.56,3.27175,4.5,7423.48388
2006-05-29,7.612,7503.05,3.29191666666667,4.5,7502.97388
2006-05-30,7.686,7452.74,3.29883333333333,4.5,7452.66314
2006-05-31,7.686,7306.89,3.29575,4.5,7306.81314
2006-06-01,7.711,7211.67,3.27825,4.5,7211.59289
2006-06-02,7.711,7396.98,3.27141666666667,4.5,7396.90289
2006-06-05,7.639,7700.66,3.2515,4.5,7700.58361
